;en;fa
None;;
English;English;انگلیسی
Farsi;Farsi;فارسی
Start;Start;شروع
Restart;Restart;دوباره
Continue;Continue;ادامه
Exit;Exit;خروج
Menu;Menu;منو
Main Menu;Main Menu;منو اصلی
Levels;Levels;مرحله ها
Next Level;Next Level;مرحله بعدی
Save;Save;ذخیره
Load;Load;بارگیری
Parts;Parts;قطعات
Skins;Skins;پوسته ها
Collection;Collection;مجموعه
MP_A_1;Small Balloon;بالون کوچک
MP_F_1;Weak Motor;موتور ضغیف
MP_F_2;Good Motor;موتور خوب
MP_F_3;Strong Motor;موتور قوی
MP_B_1;Small Tank;مخزن کوچک
MP_B_2;Medium Tank;مخزن متوسط
MP_B_3;Big Tank;مخزن بزرگ
Part_Tooltip_Mass;Mass: {0}Kg;جرم: {0}Kg
Part_Tooltip_Joules_Stored;Joules Stored: {0}J;ژول های ذخیره شده: {0}J
Part_Tooltip_Force;Force: {0}N;نیرو: {0}N
Part_Tooltip_Force_Joules_Usage;Force Joules Usage: {0}J;ژول مورد نیاز حرکت: {0}J
Part_Tooltip_Jump;Jump: {0}N;نیرو پرش: {0}N
Part_Tooltip_Jump_Joules_Usage;Jump Joules Usage: {0}J;ژول مورد نیاز پرش: {0}J
Easy;Easy;آسان
Easy 1;Easy 1;آسان 1
Easy 2;Easy 2;آسان 2
Easy 3;Easy 3;آسان 3
Medium;Medium;متوسط
Medium 1;Medium 1;متوسط 1
Medium 2;Medium 2;متوسط 2
Medium 3;Medium 3;متوسط 3
Hard;Hard;سخت
Hard 1;Hard 1;سخت 1
Hard 2;Hard 2;سخت 2
Hard 3;Hard 3;سخت 3
Tutorial;Tutorial;آموزش
Tutorial 1;Tutorial 1;آموزش 1
Tutorial_1-1;Welcome to Machine Maker! Here, we make machines of different variety!;خوش آمدید به ماشین ساز! اینجا ما ماشین های متنوعی می سازیم!
Tutorial_1-2;You have been employed to conduct testing of our new products!;شما استخدام شدید تا آزمایش محصولات جدید ما را انجام بدید!
Tutorial_1-3;Let's start with explaining some things.;ییاید شروع کنیم با توضیح دادن چند مورد.
Tutorial_1-4;At the bottom left, there is a machine.;آن پایین سمت چپ یک ماشین وجود دارد
Tutorial_1-5;That is a base that different parts can connect to.;که پایه ای است برای قطعه های مختلف که بتوانند به آن وصل بشوند
Tutorial_1-6;At the top left, there are some machine parts that our machine can connect to!;آن بالا سمت چپ، چند قطعه وجود دارند که به ماشین ما می توانند وصل بشوند!
Tutorial_1-7;One is a motor that allows our machine to move.;یکی از آنها یک موتور است که به ماشین ما قابلیت حرکت را می دهد.
Tutorial_1-8;The other is a tank, that stores 500 joules.;دیگری یک مخزن است که 500 ژول را نگهداری می کند.
Tutorial_1-9;Our machine can use them to power its parts.;ماشین ما می تواند از آنها استفاده کند تا قطعه هایش را به کار به اندازد.
Tutorial_1-10;Double click on a part to see its mechanical properties in the catalog.;دوبار برروی یک قطعه کلیک کنید تا خواص مکانیکی آن را در مجموعه ببینید.
Tutorial_1-11;On both parts and the machine, you can see some connectors.;برروی هردو قطعه ها و ماشین چند وصل کننده وجود دارد.
Tutorial_1-12;When a parts connector touches a machines connector, the part connects to the machine.;زمانی که وصل کننده قطعه ای با وصل کننده ماشینی تماس برقرار می کند، آن قطعه به ماشین وصل می شود.
Tutorial_1-13;Drag each parts connector onto a machines to try and connect them to the machine!;قطعه ها را بکشید تا وصل کننده هایشان به وصل کننده های ماشین وصل شوند!
Tutorial_1-14;At the bottom left there is an area you have to get the machine to for you to succeed!;در پایین سمت راست منطقه ای وجود دارد که شما باید ماشین را به آن ببرید تا موفق شوید!
Tutorial_1-15;But beware of your joules, if you run out and dont make it, you fail!;اما مواظب ژول های خود باشید، اگر آنها تمام شوند و شما به مقصد نرسید، شما شکست می خورید!
Tutorial_1-16;Click the "Start" button to start the testing!;برروی دکمه "شروع" کلیک کنید تا آزمایش را شروع کنید!
Tutorial 2;Tutorial 2;آموزش 2
Coming soon...;Coming soon...;به زودی...
Are you sure?;i Are you sure are you sure pretty are you sure interesting are you sure are you sure guess are you sure are you sure finally are you sure are you sure are you sure powers are you sure are you sure are you sure sure are you sure are you sure are you sure are you sure are you sure are you sure are you sure are you sure work oh are you sure that are you sure great are you sure son are you sure are you sure great are you sure are you sure are you sure are you sure are you sure are you sure are you sure are you sure are you sure tomorrow are you sure are you sure training are you sure are you sure are you sure exciting are you sure right are you sure are you sure are you sure tomorrow are you sure are you sure are you sure are you sure are you sure are you sure are you sure good are you sure are you sure sleep are you sure are you sure are you sure sure are you sure;[TITLE CARD]
